Date,Open,High,Low,Close,Adj Close,Volume
2017/1/3,167,167.869995,166.009995,167.190002,159.378235,2934300
2017/1/4,167.770004,169.869995,167.360001,169.259995,161.351501,3381400
2017/1/5,169.25,169.389999,167.259995,168.699997,160.817673,2682300
2017/1/6,168.690002,169.919998,167.520004,169.529999,161.608887,2945500
2017/1/9,169.470001,169.800003,167.619995,167.649994,159.816727,3184700
2017/1/10,167.979996,168.089996,165.339996,165.520004,157.78627,4118700
2017/1/11,166.050003,167.759995,165.600006,167.75,159.912048,3599500
2017/1/12,167.770004,168.009995,165.559998,167.949997,160.102707,2927500
2017/1/13,167.970001,168.479996,166.880005,167.339996,159.52121,2875400
2017/1/17,166.690002,168.179993,166.119995,167.889999,160.045517,3302900
2017/1/18,167.449997,168.589996,166.690002,166.800003,159.006439,4007800
2017/1/19,166.960007,167.449997,165.800003,166.809998,159.015976,6963400
2017/1/20,167.809998,170.639999,166,170.550003,162.581238,12690000
2017/1/23,170.080002,171.25,170.009995,171.029999,163.038803,5478200
2017/1/24,171.360001,176,171.160004,175.899994,167.681244,6952400
2017/1/25,176.259995,179.25,176.130005,178.289993,169.959579,5922500
2017/1/26,178.059998,178.880005,177.509995,178.660004,170.312302,3063900
2017/1/27,178.470001,179.199997,177.300003,177.300003,169.015839,3482300
2017/1/30,176.979996,177.070007,174.580002,175.800003,167.585938,4094800
2017/1/31,175.050003,175.580002,173.610001,174.520004,166.365753,4139000
2017/2/1,175,175.699997,172.889999,174.289993,166.146484,2795700
2017/2/2,174.229996,174.970001,173.550003,174.580002,166.422928,2620500
2017/2/3,175,176.339996,174.889999,175.820007,167.604996,3309300
2017/2/6,175.309998,175.979996,174.380005,175.860001,167.643127,2650800
2017/2/7,176,178.619995,175.899994,178.460007,170.121658,3873500
2017/2/8,177.5,177.5,175.880005,176.169998,169.26651,2913100
2017/2/9,176.169998,177.800003,175.910004,177.210007,170.265778,3090700
2017/2/10,177.369995,178.869995,176.759995,178.679993,171.678146,2930700
2017/2/13,179.240005,179.899994,178.839996,179.360001,172.331512,3093400
2017/2/14,178.570007,180.130005,178.350006,180.130005,173.07135,2567900
2017/2/15,180.199997,181.919998,179.809998,181.679993,174.560608,2914300
2017/2/16,181.449997,182.789993,180.869995,181.429993,174.320404,3251500
2017/2/17,181.25,181.570007,180,180.669998,173.590179,3552500
2017/2/21,180.600006,180.789993,179.119995,180.259995,173.196259,4480300
2017/2/22,180.089996,181.339996,180.089996,181.149994,174.051376,3020500
2017/2/23,182,182.5,180.919998,181.649994,174.531769,2282500
2017/2/24,180.210007,181.490005,179.889999,181.350006,174.243546,3300100
