Date,Open,High,Low,Close,Volume
42465,758.130005,762.869995,755.599976,758.570007,1223900
42466,757.840027,768.419983,756.299988,768.070007,1257100
42467,765.320007,769.359985,757.5,760.119995,1274900
42468,765.869995,767.130005,755.77002,759.469971,1171700
42471,765.450012,767.219971,757.340027,757.539978,1588700
42472,758.429993,764.919983,751.570007,764.320007,1366600
42473,770.309998,775.75,764.590027,771.909973,1771300
42474,775.359985,779.609985,773.219971,775.390015,1348000
42475,775.5,780.929993,774.929993,780,1585600
42478,780.190002,788.549988,777.609985,787.679993,1669700
42479,790.5,790.950012,770.27002,776.25,2197600
42480,779.159973,779.659973,771.27002,774.919983,1713100
42481,777.309998,781.679993,771.549988,780,3881400
42482,743.909973,753.919983,730.369995,737.77002,7039900
42485,735.349976,744.880005,735.099976,742.210022,2472100
42486,744.419983,745.590027,720.320007,725.369995,2793200
42487,725.320007,727.150024,709.080017,721.460022,3313100
42488,723.289978,729.26001,703.200012,705.059998,3129500
42489,704.119995,712.109985,703.780029,707.880005,2913900
42492,711.919983,715.409973,706.359985,714.409973,1673800
42493,712.5,713.369995,707.330017,708.440002,1931000
42494,706.77002,715.049988,704.049988,711.369995,1610200
42495,715,717.549988,709.450012,714.710022,1483400
42496,712.200012,725.98999,711.950012,725.179993,1997600
42499,726.700012,734.289978,723.5,729.130005,1903700
42500,734.960022,740,731.609985,739.380005,1627900
42501,740.52002,740.799988,727.900024,730.549988,1491700
42502,732,735.369995,724.27002,728.070007,1354700
42503,726.619995,731.289978,723.51001,724.830017,1262200
42506,724.320007,732.679993,720,730.299988,1126900
42507,731.059998,735.849976,718,720.190002,1670200
42508,718.5,725.570007,715.02002,721.780029,1626800
42509,718.299988,720.5,710.309998,715.309998,1529900
42510,716.460022,727.700012,715.01001,721.710022,1739900
42513,719.97998,723.5,716.940002,717.25,1233400
42514,719.849976,734.200012,719.650024,733.030029,1894200
42515,735,739.890015,732.599976,738.099976,1610800
42516,736,741.099976,733,736.929993,1298300
42517,737.51001,747.909973,737.01001,747.599976,1740100
42521,748.76001,753.47998,745.570007,748.849976,2124200
42522,748.469971,751.369995,744.340027,748.460022,1039400
42523,746.099976,747.299988,737,744.27002,1693700
42524,741.48999,741.48999,733.909973,735.859985,1230400
42527,738.5,738.5,728.289978,730.059998,1499600
42528,733.27002,736.710022,730.799988,731.090027,1215700
42529,739.5,743.809998,735.77002,742.929993,1615700
42530,737.070007,743.929993,736.5,742.52002,959000
42531,735.950012,739.640015,730.51001,733.190002,1452500
42534,729.820007,739,729.820007,731.880005,1167700
42535,729.309998,736,726.5,733.25,1329200
42536,734.919983,737.150024,731.309998,732.190002,1161700
42537,727.960022,730.390015,715.539978,724.25,2250100
42538,721.390015,721.390015,701.119995,704.25,4113100
42541,710.309998,715.869995,705.409973,706.130005,2282700
42542,710.049988,715.380005,704.659973,708.880005,1515900
42543,714.049988,714.210022,705.880005,710.469971,1452900
42544,710.549988,714.880005,700.25,714.869995,2125000
42545,690.169983,705,684.909973,685.200012,4771800
42548,682.48999,683.330017,672.659973,681.140015,2907300
42549,691.369995,692.73999,684.849976,691.26001,1912300
42550,694.26001,699.5,692.679993,695.190002,2156200
42551,697.650024,703.77002,694.900024,703.530029,2112500
42552,705.099976,712.530029,703.72998,710.25,1549200
42556,705.01001,708.119995,699.130005,704.890015,1422000
42557,699.840027,713,699,708.969971,1445100
42558,710.109985,710.169983,700.669983,707.26001,1057600
42559,710.559998,717.900024,708.109985,717.780029,1497300
42562,719.419983,728.929993,718.869995,727.200012,1441100
42563,731.919983,735.599976,727.5,732.51001,1323400
42564,735.52002,735.52002,729.02002,729.47998,1021800
42565,733.940002,736.140015,730.590027,735.799988,1070400
42566,741,741,734.640015,735.630005,1617100
42569,737.909973,755.140015,736.51001,753.200012,1934900
42570,749.869995,756.590027,748.48999,753.409973,1521800
42571,754.049988,760.640015,754.049988,757.080017,1125100
42572,757,758.150024,751.52002,754.409973,953100
42573,757.320007,759.450012,752.659973,759.280029,1046000
42576,757.679993,759.820007,754.070007,757.52002,1073300
42577,757.52002,759.26001,752.75,757.650024,1189600
42578,758.969971,764.450012,755.929993,761.969971,1576200
42579,768.840027,768.969971,759.090027,765.840027,3673200
42580,797.710022,803.940002,790,791.340027,5090500
42583,786.669983,807.48999,785.039978,800.940002,3029700
42584,797.330017,802.320007,794.530029,800.119995,1996400
42585,796.469971,799.539978,793.02002,798.919983,1460300
42586,798.23999,800.200012,793.919983,797.25,1074900
42587,800.109985,807.219971,797.809998,806.929993,1807300
42590,806,807.599976,801.690002,805.22998,1221300
42591,804.48999,813.330017,804.059998,807.47998,1607700
42592,807.049988,810.880005,806.48999,808.48999,918500
42593,810.469971,813.880005,806,808.200012,1281200
42594,805.090027,807.190002,803.640015,807.049988,897300
42597,807.210022,811.359985,804.030029,805.960022,929800
42598,803.5,804.26001,797,801.190002,1057900
42599,800,805.630005,796.299988,805.419983,1066100
42600,805.359985,808,801.630005,802.75,864600
42601,799.789978,801.22998,796.880005,799.650024,1120800
42604,798.51001,799.299988,794.330017,796.950012,852800
42605,800.47998,801,795.98999,796.590027,917500
42606,796.859985,798.460022,790.76001,793.599976,1283600
42607,792,794.719971,787.22998,791.299988,1202700
42608,792.48999,799.400024,789.409973,793.219971,1248900
42611,793.049988,798.52002,790.320007,795.820007,766500
42612,792.880005,798,789.469971,791.919983,1167400
42613,789.599976,791.570007,787.200012,789.849976,1071400
42614,791.97998,792.890015,786.330017,791.400024,1303500
42615,795.27002,797.099976,793.26001,796.869995,1349900
42619,798.390015,810.890015,795.429993,808.02002,1989500
42620,807.929993,810.599976,803.719971,807.98999,1145300
42621,805.219971,808.419983,801.01001,802.840027,1175200
42622,798.77002,801.75,788.049988,788.47998,1887600
42625,784.52002,800.169983,783.5,798.820007,1863700
42626,794.01001,795.789978,784.330017,788.719971,1809000
42627,787.530029,796.330017,787.530029,790.460022,1292100
42628,790.01001,803.650024,788.659973,801.22998,1557200
42629,799.02002,799.02002,793.619995,797.969971,2130600
42632,801.109985,803.98999,793.559998,795.390015,1146700
42633,800,802.75,798.26001,799.780029,1049200
42634,801.26001,805.909973,796.030029,805.030029,1348500
42635,810,819.059998,807.710022,815.950012,1759300
42636,815.140015,817,812.72998,814.960022,1411700
42639,809.820007,810.080017,800.450012,802.650024,1472700
42640,801.830017,813.48999,801.830017,810.72998,1367300
42641,804.080017,810.25,802.780029,810.059998,1470300
42642,807.22998,813.909973,800.859985,802.640015,1350000
42643,803.599976,808.090027,801.5,804.059998,1660200
42646,802.549988,803.539978,796.22998,800.380005,1489200
42647,805,806.5,799.669983,802.789978,1258700
42648,806,808.5,800.710022,801.22998,1213800
42649,804.080017,806.950012,800.51001,803.080017,1099900
42650,805.929993,805.940002,796.820007,800.710022,1163100
42653,803.929993,817.380005,802.23999,814.169983,1488500
42654,814.169983,819.859985,807.369995,809.570007,1721600
42655,811.960022,814.5,808.549988,811.77002,907900
