Date,Open,High,Low,Close,Volume
42858,936.049988,950.200012,935.210022,948.450012,1824800
42859,950.289978,959.140015,947.369995,954.719971,1937600
42860,956.719971,958.440002,948.099976,950.280029,1615500
42863,947.450012,960.98999,947.400024,958.690002,1876700
42864,961.330017,962.200012,954.400024,956.710022,1687900
42865,956.219971,956.710022,949.840027,954.840027,1146000
42866,951.289978,957.98999,948.609985,955.890015,1031100
42867,957.849976,957.97998,952.059998,955.140015,1214900
42870,955.289978,962.700012,952.820007,959.219971,1337700
42871,963.549988,965.900024,960.349976,964.609985,1101500
42872,959.700012,960.98999,940.059998,942.169983,2449100
42873,943.200012,954.179993,941.27002,950.5,1800500
42874,952.820007,959.559998,952,954.650024,1360300
42877,957,964.820007,956.559998,964.070007,1387400
42878,969.960022,974.51001,964.5,970.549988,1545400
42879,975.26001,978.119995,971.630005,977.609985,1133000
42880,979,995.780029,977.820007,991.859985,1954100
42881,992,996.390015,987.359985,993.27002,1636400
42885,992.5,997.619995,991.359985,996.169983,1516200
42886,996.210022,999.599976,981.679993,987.090027,1724100
42887,990.960022,993.140015,981.289978,988.289978,1306400
42888,988.590027,996.47998,987.070007,996.119995,1735500
42891,997.890015,1007.400024,995.450012,1003.880005,1378900
42892,1003.309998,1008.609985,994.799988,996.679993,1552100
42893,999.090027,1003.909973,995.869995,1001.5,1374100
42894,1004.22998,1005.599976,996.619995,1004.280029,1679900
42895,1005.48999,1005.5,953.369995,970.119995,3647900
42898,958.719971,968,936.799988,961.809998,4202100
42899,972.039978,977.909973,962.01001,970.5,2005400
42900,975.5,979.700012,959.51001,967.929993,1505500
42901,948.02002,960.679993,940.369995,960.179993,2427600
42902,957.909973,959.950012,948.700012,958.619995,2559200
42905,969.650024,979.299988,968.200012,975.219971,1468800
42906,975.309998,980.789978,968.200012,968.98999,1297300
42907,970.789978,979.549988,969.450012,978.590027,1161600
42908,976.869995,980.5,973.309998,976.619995,1009500
42909,975.5,986.619995,974.460022,986.090027,1564000
42912,990,993.98999,970.330017,972.090027,1517900
42913,961.599976,967.219971,947.090027,948.090027,2443600
42914,950.659973,963.23999,936.159973,961.01001,2745600
42915,951.349976,951.659973,929.599976,937.820007,3206700
42916,943.98999,945,929.609985,929.679993,2287700
42919,933.219971,934.23999,915.309998,919.460022,1694800
42921,924.200012,936.289978,918.630005,932.26001,2094100
42922,925,936.140015,919.849976,927.690002,2014900
42923,930.98999,944.659973,929.789978,940.809998,1663300
42926,941.950012,953.130005,941.950012,951,1451500
42927,950.52002,954.890015,945.119995,953.530029,1461200
42928,960.859985,969.630005,957.039978,967.659973,1602100
42929,970.799988,978.700012,964.799988,968.849976,1524600
42930,974,977.539978,970.150024,976.909973,1079600
42933,976.320007,983.349976,970.799988,975.960022,1660500
42934,973.359985,990.849976,972.039978,986.950012,1413300
42935,990.01001,995.599976,987.01001,992.77002,1412100
42936,997,998.679993,984.619995,992.190002,1418400
