Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,42.689999,43.029999,42.520000,43.020000,39.256195,26006600
2017-01-04,42.939999,43.000000,42.709999,42.770000,39.028080,23203000
2017-01-05,42.849998,42.889999,42.529999,42.650002,38.918568,25711200
2017-01-06,41.980000,42.000000,41.209999,41.320000,38.143154,32687900
2017-01-09,41.290001,41.400002,40.799999,40.799999,37.663136,25379700
2017-01-10,40.660000,41.060001,40.240002,40.810001,37.672367,21521900
2017-01-11,40.380001,40.700001,40.279999,40.610001,37.487740,24536400
2017-01-12,40.570000,41.110001,40.500000,41.009998,37.856987,19900300
2017-01-13,40.919998,41.180000,40.790001,40.959999,37.810829,13932200
2017-01-17,41.000000,41.139999,40.759998,41.110001,37.949303,22493400
2017-01-18,41.150002,41.240002,40.779999,40.799999,37.663136,19476500
2017-01-19,40.889999,41.020000,40.709999,41.000000,37.847755,16693300
2017-01-20,41.330002,41.869999,41.290001,41.450001,38.263161,25164900
2017-01-23,41.459999,42.070000,41.389999,42.000000,38.770870,25211300
2017-01-24,41.400002,41.740002,41.049999,41.360001,38.180080,28701000
2017-01-25,41.330002,41.470001,40.889999,41.389999,38.207771,21460500
2017-01-26,41.169998,41.849998,40.959999,41.770000,38.558556,28137300
2017-01-27,41.980000,42.299999,41.750000,42.009998,38.780102,19018300
2017-01-30,41.939999,42.130001,41.660000,41.820000,38.604717,15876100
2017-01-31,41.680000,42.189999,41.580002,42.160000,38.918571,25405400
2017-02-01,42.279999,42.459999,41.860001,42.060001,38.826263,32082500
2017-02-02,42.020000,42.070000,40.950001,41.180000,38.013920,29154300
2017-02-03,41.480000,41.520000,41.200001,41.250000,38.078533,19151000
2017-02-06,41.270000,41.270000,40.980000,41.060001,37.903141,11374900
2017-02-07,41.080002,41.169998,40.820000,41.119999,37.958534,17312100
2017-02-08,41.169998,41.320000,41.070000,41.209999,38.041618,15688300
2017-02-09,41.209999,41.430000,41.130001,41.310001,38.133923,11362400
2017-02-10,41.250000,41.430000,41.200001,41.380001,38.198540,12135600
2017-02-13,40.820000,41.139999,40.490002,40.650002,37.524670,34361100
2017-02-14,40.470001,40.779999,40.410000,40.750000,37.616985,19690000
2017-02-15,40.660000,41.139999,40.560001,41.119999,37.958534,23322500
2017-02-16,41.119999,41.360001,41.029999,41.250000,38.078533,16579700
2017-02-17,41.169998,41.540001,40.790001,41.480000,38.290848,24156400
2017-02-21,41.369999,41.750000,41.320000,41.730000,38.521629,17504400
2017-02-22,41.680000,41.779999,41.450001,41.590000,38.392395,15656500
2017-02-23,41.689999,41.990002,41.540001,41.950001,38.724720,19218500
2017-02-24,42.110001,42.360001,42.040001,42.360001,39.103199,17043200
2017-02-27,42.299999,42.299999,41.730000,41.820000,38.604717,17338500
2017-02-28,41.730000,41.869999,41.639999,41.790001,38.577019,19338600
2017-03-01,41.779999,42.180000,41.560001,42.040001,38.807804,23901000
2017-03-02,41.900002,42.099998,41.840000,42.070000,38.835491,13183200
2017-03-03,42.049999,42.060001,41.759998,42.009998,38.780102,17179400
2017-03-06,41.830002,42.000000,41.709999,41.959999,38.733948,14177000
2017-03-07,41.900002,41.990002,41.720001,41.880001,38.660103,16250900
2017-03-08,41.880001,41.880001,41.680000,41.770000,38.558556,17881000
2017-03-09,41.860001,42.130001,41.750000,41.939999,38.715485,17672600
2017-03-10,42.029999,42.430000,42.020000,42.349998,39.093960,19734300
2017-03-13,42.220001,42.419998,42.180000,42.369999,39.112427,14884200
2017-03-14,42.380001,42.439999,42.049999,42.090000,38.853951,10063800
2017-03-15,42.139999,42.639999,42.090000,42.590000,39.315517,21055900
