Date,Open,High,Low,Close
43193,12274.25977,12380.25,12220.20996,12367.07031
43194,12218.91016,12482.70996,12193.84961,12466.4502
43195,12512.41992,12605.08008,12509.91016,12571.94043
43196,12511.59961,12552.46973,12263.92969,12349.11035
43199,12412.94043,12532.84961,12374.91992,12380.54981
43200,12380.55957,12601.25,12380.55957,12565.96973
43201,12509.38965,12580.98047,12501.28027,12514.58984
43202,12558.98047,12623.70996,12552.71973,12580.21973
43203,12580.21973,12640.87988,12503.66992,12546.04981
43206,12601.40039,12660.11035,12573.04004,12628.20996
43207,12680.38965,12733.67969,12665.49023,12705.75977
43208,12737.12988,12774.37012,12722.09961,12732.84961
43209,12714.61035,12716.9502,12622.01953,12671.48047
43210,12670.91992,12680.87012,12571.20996,12607.16016
43213,12618.07031,12640.16016,12567.21973,12610.76953
43214,12659.92969,12675.92969,12442.92969,12514
43215,12491.42969,12539.58984,12408.78027,12517.86035
43216,12539.65039,12621.16016,12521.84961,12582.90039
43217,12567.66992,12614.88965,12552.96973,12594.01953
43220,12615.34961,12641.92969,12515.36035,12515.36035
43221,12490.24023,12493.07031,12388.9502,12493.01953
43222,12486.11035,12521.65039,12402.28027,12418.05957
43223,12395.46973,12419.7002,12255.84961,12392.5
43224,12335.41016,12527.92969,12310.90039,12493.34961
43227,12493.34961,12567.7002,12492.83984,12519.75
43228,12498.16016,12522.34961,12458.25,12520.24023
43229,12565.23047,12652.11035,12555.17969,12632.49023
43230,12660.23047,12748.57031,12653.80957,12731.63965
43231,12748.91016,12788.75,12730.58984,12761.82031
43234,12791.88965,12821.54004,12755.45996,12772.03027
43235,12711.87988,12727.29004,12668.75,12704.62988
43236,12710.62988,12764.54981,12706.74023,12743.79981
43237,12741.54004,12787.12012,12714.11035,12747.83008
43238,12735.11035,12740.26953,12700.53027,12717.41992
43241,12771.57031,12814.7002,12771.57031,12804.00977
43242,12832.16992,12853.33008,12760.08984,12766.65039
43243,12701.58008,12743.41992,12670.07031,12743.40039
43244,12715.29981,12723.08984,12625.69043,12696.69043
43245,12646.58008,12652.29004,12606.86035,12634.94043
43249,12516.54981,12543.69043,12391.15039,12442.69043
43250,12514.33008,12647.91992,12514.33008,12625.87012
43251,12606.24023,12606.24023,12499.69043,12527.13965
43252,12596.67969,12635.11035,12595.91016,12620.83008
43255,12620.83008,12705.04981,12620.83008,12673.91016
43256,12673.91016,12677.9502,12623.41992,12658.7002
43257,12696.53027,12778.51953,12681.61035,12778.23047
43258,12797.92969,12826.88965,12750.45996,12788.5
43259,12778.21973,12833.57031,12759.4502,12832.07031
43262,12845.08008,12888.98047,12842.79981,12856.95996
43263,12861.66016,12877.23047,12822.92969,12844.70996
43264,12856.15039,12859.00977,12784.30957,12785.4502
43265,12812.12988,12823.80957,12761.50977,12771.9502
43266,12727.38965,12746.57031,12659.96973,12734.63965
43269,12660.66992,12711.67969,12639.25,12708.62988
43270,12708.62988,12708.62988,12569.9502,12638.98047
43271,12676.37012,12684.66016,12634.4502,12648.74023
43272,12620.40039,12622.54004,12539.83008,12560.23047
43273,12653.33984,12677.7002,12634.73047,12639.57031
43276,12584.9502,12584.9502,12424.03027,12481.59961
43277,12501.33984,12544.78027,12466.12012,12510.54981
43278,12528.44043,12594.45996,12412.00977,12412.07031
43279,12412.19043,12503.7002,12377.04004,12475.98047
43280,12537.19043,12607.38965,12504.25,12504.25
43283,12430.7002,12486.54004,12400.54004,12485.58008
43284,12542.33008,12576.82031,12484.59961,12494.7002
43286,12553.78027,12587.91992,12512.5,12585.20996
43287,12578.86035,12684.34961,12561.95996,12664.87988
43290,12712.33008,12779.76953,12712.33008,12776.91992
43291,12795.45996,12820.08008,12782.76953,12814.63965
43292,12737.96973,12756.04004,12665.59961,12681.58984
43293,12746.71973,12771.98047,12709.28027,12761.45996
43294,12744.79981,12783.24023,12727.75977,12769.5
43297,12758.51953,12766.17969,12717.07031,12748.78027
43298,12731.48047,12797.58008,12725.99023,12779.21973
43299,12786.25977,12825.69043,12770.32031,12823.23047
43300,12786.37012,12815,12751.79981,12786.48047
43301,12778.21973,12807.98047,12770.19043,12789.91016
43304,12788.5,12803.16992,12765.58008,12794.04981
43305,12836.62988,12883.04981,12814.04004,12847.49023
43306,12836.36035,12940.26953,12820.57031,12933.62988
43307,12929.79004,12985.57031,12929.79004,12953.38965
43308,12967.37988,12978.82031,12886.58984,12921.33984
43311,12936.78027,12961.90039,12895.62012,12903.42969
43312,12903.42969,12989.45996,12903.42969,12963.28027
43313,12949.84961,12961.69043,12879.46973,12902.38965
43314,12818.58984,12904.75,12803.90039,12898.07031
43315,12893.91992,12955.76953,12893.29981,12953.33984
43318,12939.76953,12985.48047,12918.80957,12964.26953
43319,13011.29981,13039.55957,12997.28027,12999.58984
43320,12995.91992,13007.65039,12966.82031,12987.91016
43321,12983.25,13001.66992,12949.91016,12956.66016
43322,12868.09961,12878.03027,12818.00977,12843.49023
43325,12836.65039,12853.16992,12746.00977,12763.66016
43326,12791.9502,12849.49023,12791.9502,12835.30957
43327,12752.5,12752.5,12648.32031,12723.08984
43328,12784.75977,12875.41016,12784.75977,12841.28027
43329,12839.71973,12928.17969,12834.11035,12908.25977
43332,12930.15039,12973.55957,12929.42969,12965.09961
43333,12998.04004,13032.25,12993.9502,12996.75977
43334,13007.57031,13013.05957,12983.01953,12990.50977
43335,12978.58984,12988.20996,12922.83984,12933.45996
43336,12968.82031,13011.69043,12964.29981,12999.44043
43339,13043.42969,13110.7002,13043.42969,13102.03027
43340,13125.33984,13130.49023,13075.13965,13084.79981
43341,13098.84961,13148.41992,13074.82031,13132.16016
43342,13094.78027,13094.78027,13019.44043,13039.92969
43343,13007.37012,13037.08984,12965.48047,13016.88965
43347,12976.04981,12984.2002,12928.29004,12969.86035
43348,12944.04981,12977.09961,12908.00977,12968.54981
43349,12960.20996,12993.16016,12900.82031,12938.91016
43350,12898.38965,12939.91992,12875.62988,12911.12012
43353,12952.08984,12994.83984,12928.12012,12928.66992
43354,12896.76953,12968.90039,12873.37988,12952.29981
43355,12952.30957,13017.46973,12952.30957,12990.09961
43356,13022.62988,13055.33984,13000.71973,13034.61035
43357,13042.37988,13064.87988,13014.49023,13050.51953
43360,13059.23047,13073.95996,13020.58008,13031.91016
43361,13044.92969,13112.37988,13038.66016,13091.98047
43362,13105.12988,13155.16992,13103.59961,13121.96973
43363,13183.66016,13238.74023,13173.70996,13225.11035
43364,13243.41992,13261.76953,13228.74023,13236.44043
43367,13235.20996,13237.80957,13148.66992,13162.04981
43368,13203.90039,13215.25977,13154.55957,13160.59961
43369,13164.82031,13203.98047,13093.08984,13101.95996
43370,13111.99023,13164.67969,13097.08984,13105.71973
43371,13071.40039,13121.34961,13065.92969,13082.51953
43374,13146.29981,13169.79981,13099.94043,13125.34961
43375,13108.74023,13129.01953,13069.15039,13106.00977
43376,13146.67969,13175.61035,13101.13965,13118.54981
43377,13089.23047,13099.37012,12975.87012,13042.29981
43378,13043.46973,13069.12988,12935.65039,12991.9502
