Date,Open,High,Low,Close,Volume
42738,9252.55957,9273.650391,9235.950195,9272.879883,1186600
42739,9279.519531,9299.620117,9266.030273,9286.959961,1322300
42740,9282.55957,9358.419922,9282.450195,9358.139648,1859300
42741,9371.410156,9381.110352,9351.25,9372.219727,1743800
42744,9376.480469,9404.900391,9328.19043,9342.419922,1708500
42745,9344.19043,9353.599609,9319.450195,9349.639648,1514800
42746,9370.169922,9384,9333.490234,9345.740234,1801200
42747,9356.120117,9430.580078,9356.120117,9410.179688,1919300
42748,9373.700195,9387.679688,9352.080078,9378.830078,1560100
42751,9356.540039,9359.009766,9281.209961,9292.330078,1445700
42752,9301.959961,9354.530273,9294.679688,9354.530273,1449700
42753,9344.740234,9350.950195,9322.44043,9341.969727,1882800
42754,9324.830078,9337.639648,9287.540039,9318.120117,1796100
42755,9326.799805,9350.070313,9317.620117,9331.459961,1613400
42758,9363.660156,9427.459961,9363.660156,9424.049805,1796100
42759,9423.049805,9468.339844,9416.05957,9447.950195,2147200
42768,9502.25,9521.339844,9413.769531,9428.969727,3341600
42769,9450.05957,9478.009766,9423.929688,9455.55957,2264200
42772,9467.669922,9548.679688,9467.669922,9538.009766,3053900
42773,9527.419922,9555.799805,9512.55957,9554.55957,2607300
42774,9540.769531,9564.070313,9505.790039,9543.25,2893600
42775,9555.519531,9600.089844,9540.509766,9590.179688,2733900
42776,9612.669922,9688.150391,9612.669922,9665.589844,3443400
42779,9690.389648,9711.429688,9681.099609,9710.320313,2743600
42780,9726.740234,9760.009766,9698.290039,9718.780273,2798500
42781,9724.129883,9813.980469,9723.040039,9799.759766,2986500
42782,9826.889648,9869.589844,9753.160156,9771.25,2654800
42783,9779.160156,9791.589844,9754.540039,9759.759766,2180300
42786,9795.80957,9817.139648,9743.360352,9753.200195,2480000
42787,9761.269531,9775.490234,9721.360352,9763.929688,2406100
42788,9786.25,9820.070313,9770.099609,9778.780273,2566100
42789,9774.080078,9810.55957,9748.94043,9769.30957,2525500
42790,9757.669922,9784.389648,9740.179688,9750.469727,2454600
42795,9751.120117,9758.780273,9674.780273,9674.780273,2474000
42796,9727.599609,9774.599609,9646.339844,9691.799805,2522300
42797,9672.259766,9679.820313,9633.879883,9648.209961,2180100
42800,9647,9688.5,9647,9682.629883,1906000
42801,9690.259766,9738.070313,9690.200195,9738.070313,1882200
42802,9744.259766,9773.490234,9712.5,9753.450195,2048400
42803,9740.049805,9743.780273,9650.320313,9658.610352,2432800
42804,9653.790039,9656.650391,9562.75,9627.889648,2283500
42807,9656.55957,9697.339844,9656.55957,9697.339844,1858800
42808,9720.530273,9767.660156,9720.530273,9744.209961,2212800
42809,9741.290039,9749.009766,9714.580078,9740.30957,1836600
42810,9768.849609,9842.169922,9768.849609,9837.830078,2102200
42811,9845.589844,9908.69043,9835.509766,9908.69043,2689700
42814,9905.80957,9916.179688,9869.349609,9912.969727,2118700
42815,9923.179688,9976.610352,9918.389648,9972.490234,2317100
42816,9911.959961,9922.660156,9843.070313,9922.660156,2270500
42817,9921.969727,9945.240234,9897.450195,9930.740234,2615300
42818,9914.120117,9932.679688,9892.30957,9902.980469,2324400
42821,9907.599609,9917.849609,9859.530273,9876.769531,2296100
42822,9909.990234,9924.139648,9799.280273,9876.450195,2595900
42823,9887,9906.759766,9831.629883,9856.25,2272800
42824,9869.280273,9878.620117,9836.330078,9848.150391,2296100
42825,9846.379883,9869.650391,9811.519531,9811.519531,2362400
42830,9856.44043,9949.480469,9856.44043,9949.480469,2734200
42831,9946.660156,9946.660156,9879.849609,9897.799805,2015700
42832,9892.980469,9900.879883,9788.519531,9873.370117,2422600
42835,9880.290039,9898.639648,9859.030273,9882.540039,2364800
