Date,Open,High,Low,Close,Volume,
42006,2058.899902,2072.360107,2046.040039,2058.199951,2708700000,
42009,2054.439941,2054.439941,2017.339966,2020.579956,3799120000,
42010,2022.150024,2030.25,1992.439941,2002.609985,4460110000,
42011,2005.550049,2029.609985,2005.550049,2025.900024,3805480000,
42012,2030.609985,2064.080078,2030.609985,2062.139893,3934010000,
42013,2063.449951,2064.429932,2038.329956,2044.810059,3364140000,
42016,2046.130005,2049.300049,2022.579956,2028.26001,3456460000,
42017,2031.579956,2056.929932,2008.25,2023.030029,4107300000,
42018,2018.400024,2018.400024,1988.439941,2011.27002,4378680000,
42019,2013.75,2021.349976,1991.469971,1992.670044,4276720000,
42020,1992.25,2020.459961,1988.119995,2019.420044,4056410000,
42024,2020.76001,2028.939941,2004.48999,2022.550049,3944340000,
42025,2020.189941,2038.290039,2012.040039,2032.119995,3730070000,
42026,2034.300049,2064.620117,2026.380005,2063.149902,4176050000,
42027,2062.97998,2062.97998,2050.540039,2051.820068,3573560000,
42030,2050.419922,2057.620117,2040.969971,2057.090088,3465760000,
42031,2047.859985,2047.859985,2019.910034,2029.550049,3329810000,
42032,2032.339966,2042.48999,2001.48999,2002.160034,4067530000,
42033,2002.449951,2024.640015,1989.180054,2021.25,4127140000,
42034,2019.349976,2023.319946,1993.380005,1994.98999,4568650000,
42037,1996.670044,2021.660034,1980.900024,2020.849976,4008330000,
42038,2022.709961,2050.300049,2022.709961,2050.030029,4615900000,
42039,2048.860107,2054.73999,2036.719971,2041.51001,4141920000,
42040,2043.449951,2063.550049,2043.449951,2062.52002,3821990000,
42041,2062.280029,2072.399902,2049.969971,2055.469971,4232970000,
42044,2053.469971,2056.159912,2041.880005,2046.73999,3549540000,
42045,2049.379883,2070.860107,2048.620117,2068.590088,3669850000,
42046,2068.550049,2073.47998,2057.98999,2068.530029,3596860000,
42047,2069.97998,2088.530029,2069.97998,2088.47998,3788350000,
42048,2088.780029,2097.030029,2086.699951,2096.98999,3527450000,
42052,2096.469971,2101.300049,2089.800049,2100.340088,3361750000,
42053,2099.159912,2100.22998,2092.149902,2099.679932,3370020000,
42054,2099.25,2102.129883,2090.790039,2097.449951,3247100000,
42055,2097.649902,2110.610107,2085.439941,2110.300049,3281600000,
42058,2109.830078,2110.050049,2103,2109.659912,3093680000,
42059,2109.100098,2117.939941,2105.870117,2115.47998,3199840000,
42060,2115.300049,2119.590088,2109.889893,2113.860107,3312340000,
42061,2113.909912,2113.909912,2103.76001,2110.73999,3408690000,
42062,2110.879883,2112.73999,2103.75,2104.5,3547380000,
42065,2105.22998,2117.52002,2104.5,2117.389893,3409490000,
42066,2115.76001,2115.76001,2098.26001,2107.780029,3262300000,
42067,2107.719971,2107.719971,2094.48999,2098.530029,3421110000,
42068,2098.540039,2104.25,2095.219971,2101.040039,3103030000,
42069,2100.909912,2100.909912,2067.27002,2071.26001,3853570000,
42072,2072.25,2083.48999,2072.209961,2079.429932,3349090000,
42073,2076.139893,2076.139893,2044.160034,2044.160034,3668900000,
42074,2044.689941,2050.080078,2039.689941,2040.23999,3406570000,
42075,2041.099976,2066.409912,2041.099976,2065.949951,3405860000,
42076,2064.560059,2064.560059,2041.170044,2053.399902,3498560000,
42079,2055.350098,2081.409912,2055.350098,2081.189941,3295600000,
42080,2080.590088,2080.590088,2065.080078,2074.280029,3221840000,
42081,2072.840088,2106.850098,2061.22998,2099.5,4128210000,
42082,2098.689941,2098.689941,2085.560059,2089.27002,3305220000,
42083,2090.320068,2113.919922,2090.320068,2108.100098,5554120000,
42086,2107.98999,2114.860107,2104.419922,2104.419922,3267960000,
42087,2103.939941,2107.629883,2091.5,2091.5,3189820000,
42088,2093.100098,2097.429932,2061.050049,2061.050049,3521140000,
42089,2059.939941,2067.149902,2045.5,2056.149902,3510670000,
42090,2055.780029,2062.830078,2052.959961,2061.02002,3008550000,
42093,2064.110107,2088.969971,2064.110107,2086.23999,2917690000,
42094,2084.050049,2084.050049,2067.040039,2067.889893,3376550000,
42095,2067.629883,2067.629883,2048.379883,2059.689941,3543270000,
42096,2060.030029,2072.169922,2057.320068,2066.959961,3095960000,
42100,2064.870117,2086.98999,2056.52002,2080.620117,3302970000,
42101,2080.790039,2089.810059,2076.100098,2076.330078,3065510000,
42102,2076.939941,2086.689941,2073.300049,2081.899902,3265330000,
42103,2081.290039,2093.310059,2074.290039,2091.179932,3172360000,
42104,2091.51001,2102.610107,2091.51001,2102.060059,3156200000,
42107,2102.030029,2107.649902,2092.330078,2092.429932,2908420000,
42108,2092.280029,2098.620117,2083.23999,2095.840088,3301270000,
42109,2097.820068,2111.909912,2097.820068,2106.629883,4013760000,
42110,2105.959961,2111.300049,2100.02002,2104.98999,3434120000,
42111,2102.580078,2102.580078,2072.370117,2081.179932,3627600000,
42114,2084.110107,2103.939941,2084.110107,2100.399902,3000160000,
42115,2102.820068,2109.639893,2094.379883,2097.290039,3243410000,
42116,2098.27002,2109.97998,2091.050049,2107.959961,3348480000,
42117,2107.209961,2120.48999,2103.189941,2112.929932,3636670000,
42118,2112.800049,2120.919922,2112.800049,2117.689941,3375780000,
42121,2119.290039,2125.919922,2107.040039,2108.919922,3438750000,
42122,2108.350098,2116.040039,2094.889893,2114.76001,3546270000,
42123,2112.48999,2113.649902,2097.409912,2106.850098,4074970000,
42124,2105.52002,2105.52002,2077.590088,2085.51001,4509680000,
42125,2087.379883,2108.409912,2087.379883,2108.290039,3379390000,
42128,2110.22998,2120.949951,2110.22998,2114.48999,3091580000,
42129,2112.629883,2115.23999,2088.459961,2089.459961,3793950000,
42130,2091.26001,2098.419922,2067.929932,2080.149902,3792210000,
42131,2079.959961,2092.899902,2074.98999,2088,3676640000,
42132,2092.129883,2117.659912,2092.129883,2116.100098,3399440000,
42135,2115.560059,2117.689941,2104.580078,2105.330078,2992670000,
42136,2102.870117,2105.060059,2085.570068,2099.120117,3139520000,
42137,2099.620117,2110.189941,2096.040039,2098.47998,3374260000,
42138,2100.429932,2121.449951,2100.429932,2121.100098,3225740000,
42139,2122.070068,2123.889893,2116.810059,2122.72998,3092080000,
42142,2121.300049,2131.780029,2120.01001,2129.199951,2888190000,
42143,2129.449951,2133.02002,2124.5,2127.830078,3296030000,
42144,2127.790039,2134.719971,2122.590088,2125.850098,3025880000,
42145,2125.550049,2134.280029,2122.949951,2130.820068,3070460000,
42146,2130.360107,2132.149902,2126.060059,2126.060059,2571860000,
42150,2125.340088,2125.340088,2099.179932,2104.199951,3342130000,
42151,2105.129883,2126.219971,2105.129883,2123.47998,3127960000,
42152,2122.27002,2122.27002,2112.860107,2120.790039,2980350000,
42153,2120.659912,2120.659912,2104.889893,2107.389893,3927390000,
42156,2108.639893,2119.149902,2102.540039,2111.72998,3011710000,
42157,2110.409912,2117.590088,2099.139893,2109.600098,3049350000,
42158,2110.639893,2121.919922,2109.610107,2114.070068,3099980000,
42159,2112.350098,2112.889893,2093.22998,2095.840088,3200050000,
42160,2095.090088,2100.98999,2085.669922,2092.830078,3243690000,
42163,2092.340088,2093.01001,2079.110107,2079.280029,2917150000,
42164,2079.070068,2085.620117,2072.139893,2080.149902,3034580000,
42165,2081.120117,2108.5,2081.120117,2105.199951,3414320000,
42166,2106.23999,2115.02002,2106.23999,2108.860107,3128600000,
42167,2107.429932,2107.429932,2091.330078,2094.110107,2719400000,
42170,2091.340088,2091.340088,2072.48999,2084.429932,3061570000,
42171,2084.26001,2097.399902,2082.100098,2096.290039,2919900000,
42172,2097.399902,2106.790039,2088.860107,2100.439941,3222240000,
42173,2101.580078,2126.649902,2101.580078,2121.23999,3520360000,
42174,2121.060059,2121.639893,2109.449951,2109.98999,4449810000,
42177,2112.5,2129.870117,2112.5,2122.850098,3030020000,
42178,2123.159912,2128.030029,2119.889893,2124.199951,3091190000,
42179,2123.649902,2125.100098,2108.580078,2108.580078,3102480000,
42180,2109.959961,2116.040039,2101.780029,2102.310059,3214610000,
42181,2102.620117,2108.919922,2095.379883,2101.48999,5025470000,
42184,2098.629883,2098.629883,2056.639893,2057.639893,3678960000,
42185,2061.189941,2074.280029,2056.320068,2063.110107,4078540000,
42186,2067,2082.780029,2067,2077.419922,3727260000,
42187,2078.030029,2085.060059,2071.02002,2076.780029,2996540000,
42191,2073.949951,2078.610107,2058.399902,2068.76001,3486360000,
42192,2069.52002,2083.73999,2044.02002,2081.340088,4458660000,
42193,2077.659912,2077.659912,2044.660034,2046.680054,3608780000,
42194,2049.72998,2074.280029,2049.72998,2051.310059,3446810000,
42195,2052.73999,2081.310059,2052.73999,2076.620117,3065070000,
42198,2080.030029,2100.669922,2080.030029,2099.600098,3096730000,
42199,2099.719971,2111.97998,2098.179932,2108.949951,3002120000,
42200,2109.01001,2114.139893,2102.48999,2107.399902,3261810000,
42201,2110.550049,2124.419922,2110.550049,2124.290039,3227080000,
42202,2126.800049,2128.909912,2119.879883,2126.639893,3362750000,
42205,2126.850098,2132.820068,2123.659912,2128.280029,3245870000,
42206,2127.550049,2128.48999,2115.399902,2119.209961,3343690000,
42207,2118.209961,2118.51001,2110,2114.149902,3694070000,
42208,2114.159912,2116.870117,2098.629883,2102.149902,3772810000,
42209,2102.23999,2106.01001,2077.090088,2079.649902,3870040000,
42212,2078.189941,2078.189941,2063.52002,2067.639893,3836750000,
42213,2070.75,2095.600098,2069.090088,2093.25,4117740000,
42214,2094.699951,2110.600098,2094.080078,2108.570068,4038900000,
42215,2106.780029,2110.47998,2094.969971,2108.629883,3579410000,
42216,2111.600098,2114.23999,2102.070068,2103.840088,3681340000,
42219,2104.48999,2105.699951,2087.310059,2098.040039,3476770000,
42220,2097.679932,2102.51001,2088.600098,2093.320068,3546710000,
42221,2095.27002,2112.659912,2095.27002,2099.840088,3968680000,
42222,2100.75,2103.320068,2075.530029,2083.560059,4246570000,
42223,2082.610107,2082.610107,2067.909912,2077.570068,3602320000,
42226,2080.97998,2105.350098,2080.97998,2104.179932,3514460000,
42227,2102.659912,2102.659912,2076.48999,2084.070068,3708880000,
42228,2081.100098,2089.060059,2052.090088,2086.050049,4269130000,
42229,2086.189941,2092.929932,2078.26001,2083.389893,3221300000,
42230,2083.149902,2092.449951,2080.610107,2091.540039,2795590000,
42233,2089.699951,2102.870117,2079.300049,2102.439941,2867690000,
42234,2101.98999,2103.469971,2094.139893,2096.919922,2949990000,
42235,2095.689941,2096.169922,2070.530029,2079.610107,3512920000,
42236,2076.610107,2076.610107,2035.72998,2035.72998,3922470000,
42237,2034.079956,2034.079956,1970.890015,1970.890015,5018240000,
42240,1965.150024,1965.150024,1867.01001,1893.209961,6612690000,
42241,1898.079956,1948.040039,1867.079956,1867.609985,5183560000,
42242,1872.75,1943.089966,1872.75,1940.51001,5338250000,
42243,1942.77002,1989.599976,1942.77002,1987.660034,5006390000,
42244,1986.060059,1993.47998,1975.189941,1988.869995,3949080000,
42247,1986.72998,1986.72998,1965.97998,1972.180054,3915100000,
42248,1970.089966,1970.089966,1903.069946,1913.849976,4371850000,
42249,1916.52002,1948.910034,1916.52002,1948.859985,3742620000,
42250,1950.790039,1975.01001,1944.719971,1951.130005,3520700000,
42251,1947.76001,1947.76001,1911.209961,1921.219971,3167090000,
42255,1927.300049,1970.420044,1927.300049,1969.410034,3548650000,
42256,1971.449951,1988.630005,1937.880005,1942.040039,3652120000,
42257,1941.589966,1965.290039,1937.189941,1952.290039,3626320000,
42258,1951.449951,1961.050049,1939.189941,1961.050049,3218590000,
42261,1963.060059,1963.060059,1948.27002,1953.030029,3000200000,
42262,1955.099976,1983.189941,1954.300049,1978.089966,3239860000,
42263,1978.02002,1997.26001,1977.930054,1995.310059,3630680000,
42264,1995.329956,2020.859985,1986.72998,1990.199951,4183790000,
42265,1989.660034,1989.660034,1953.449951,1958.030029,6021240000,
42268,1960.839966,1979.640015,1955.800049,1966.969971,3269350000,
42269,1961.390015,1961.390015,1929.219971,1942.73999,3808260000,
42270,1943.23999,1949.52002,1932.569946,1938.76001,3190530000,
42271,1934.810059,1937.170044,1908.920044,1932.23999,4091530000,
42272,1935.930054,1952.890015,1921.5,1931.339966,3721870000,
42275,1929.180054,1929.180054,1879.209961,1881.77002,4326660000,
42276,1881.900024,1899.47998,1871.910034,1884.089966,4132390000,
42277,1887.140015,1920.530029,1887.140015,1920.030029,4525070000,
42278,1919.650024,1927.209961,1900.699951,1923.819946,3983600000,
42279,1921.77002,1951.359985,1893.699951,1951.359985,4378570000,
42282,1954.329956,1989.170044,1954.329956,1987.050049,4334490000,
42283,1986.630005,1991.619995,1971.98999,1979.920044,4202400000,
42284,1982.339966,1999.310059,1976.439941,1995.829956,4666470000,
42285,1994.01001,2016.5,1987.530029,2013.430054,3939140000,
42286,2013.72998,2020.130005,2007.609985,2014.890015,3706900000,
42289,2015.650024,2018.660034,2010.550049,2017.459961,2893250000,
